season,round,circuit_id,country,url
2003,1,albert_park,Australia,http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix
2003,2,sepang,Malaysia,http://en.wikipedia.org/wiki/2003_Malaysian_Grand_Prix
2003,3,interlagos,Brazil,http://en.wikipedia.org/wiki/2003_Brazilian_Grand_Prix
2003,4,imola,Italy,http://en.wikipedia.org/wiki/2003_San_Marino_Grand_Prix
2003,5,catalunya,Spain,http://en.wikipedia.org/wiki/2003_Spanish_Grand_Prix
2003,6,red_bull_ring,Austria,http://en.wikipedia.org/wiki/2003_Austrian_Grand_Prix
2003,7,monaco,Monaco,http://en.wikipedia.org/wiki/2003_Monaco_Grand_Prix
2003,8,villeneuve,Canada,http://en.wikipedia.org/wiki/2003_Canadian_Grand_Prix
2003,9,nurburgring,Germany,http://en.wikipedia.org/wiki/2003_European_Grand_Prix
2003,10,magny_cours,France,http://en.wikipedia.org/wiki/2003_French_Grand_Prix
2003,11,silverstone,UK,http://en.wikipedia.org/wiki/2003_British_Grand_Prix
2003,12,hockenheimring,Germany,http://en.wikipedia.org/wiki/2003_German_Grand_Prix
2003,13,hungaroring,Hungary,http://en.wikipedia.org/wiki/2003_Hungarian_Grand_Prix
2003,14,monza,Italy,http://en.wikipedia.org/wiki/2003_Italian_Grand_Prix
2003,15,indianapolis,USA,http://en.wikipedia.org/wiki/2003_United_States_Grand_Prix
2003,16,suzuka,Japan,http://en.wikipedia.org/wiki/2003_Japanese_Grand_Prix
2004,1,albert_park,Australia,http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix
2004,2,sepang,Malaysia,http://en.wikipedia.org/wiki/2004_Malaysian_Grand_Prix
2004,3,bahrain,Bahrain,http://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix
2004,4,imola,Italy,http://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix
2004,5,catalunya,Spain,http://en.wikipedia.org/wiki/2004_Spanish_Grand_Prix
2004,6,monaco,Monaco,http://en.wikipedia.org/wiki/2004_Monaco_Grand_Prix
2004,7,nurburgring,Germany,http://en.wikipedia.org/wiki/2004_European_Grand_Prix
2004,8,villeneuve,Canada,http://en.wikipedia.org/wiki/2004_Canadian_Grand_Prix
2004,9,indianapolis,USA,http://en.wikipedia.org/wiki/2004_United_States_Grand_Prix
2004,10,magny_cours,France,http://en.wikipedia.org/wiki/2004_French_Grand_Prix
2004,11,silverstone,UK,http://en.wikipedia.org/wiki/2004_British_Grand_Prix
2004,12,hockenheimring,Germany,http://en.wikipedia.org/wiki/2004_German_Grand_Prix
2004,13,hungaroring,Hungary,http://en.wikipedia.org/wiki/2004_Hungarian_Grand_Prix
2004,14,spa,Belgium,http://en.wikipedia.org/wiki/2004_Belgian_Grand_Prix
2004,15,monza,Italy,http://en.wikipedia.org/wiki/2004_Italian_Grand_Prix
2004,16,shanghai,China,http://en.wikipedia.org/wiki/2004_Chinese_Grand_Prix
2004,17,suzuka,Japan,http://en.wikipedia.org/wiki/2004_Japanese_Grand_Prix
2004,18,interlagos,Brazil,http://en.wikipedia.org/wiki/2004_Brazilian_Grand_Prix
