driver,car,qualifying_time,season,round
michael_schumacher,Ferrari,1:27.173,2003,1
barrichello,Ferrari,1:27.418,2003,1
montoya,Williams,1:28.101,2003,1
frentzen,Sauber,1:28.274,2003,1
panis,Toyota,1:28.288,2003,1
villeneuve,BAR,1:28.420,2003,1
heidfeld,Sauber,1:28.464,2003,1
button,BAR,1:28.682,2003,1
ralf_schumacher,Williams,1:28.830,2003,1
alonso,Renault,1:28.928,2003,1
coulthard,McLaren,1:29.105,2003,1
trulli,Renault,1:29.136,2003,1
fisichella,Jordan,1:29.344,2003,1
webber,Jaguar,1:29.367,2003,1
raikkonen,McLaren,1:29.470,2003,1
matta,Toyota,1:29.538,2003,1
firman,Jordan,1:31.242,2003,1
pizzonia,Jaguar,1:31.723,2003,1
wilson,Minardi,00.000,2003,1
verstappen,Minardi,00.000,2003,1
alonso,Renault,1:37.044,2003,2
trulli,Renault,1:37.217,2003,2
michael_schumacher,Ferrari,1:37.393,2003,2
coulthard,McLaren,1:37.454,2003,2
barrichello,Ferrari,1:37.579,2003,2
heidfeld,Sauber,1:37.766,2003,2
raikkonen,McLaren,1:37.858,2003,2
montoya,Williams,1:37.974,2003,2
button,BAR,1:38.073,2003,2
panis,Toyota,1:38.094,2003,2
matta,Toyota,1:38.097,2003,2
villeneuve,BAR,1:38.289,2003,2
frentzen,Sauber,1:38.291,2003,2
fisichella,Jordan,1:38.416,2003,2
pizzonia,Jaguar,1:38.516,2003,2
webber,Jaguar,1:38.624,2003,2
ralf_schumacher,Williams,1:38.789,2003,2
verstappen,Minardi,1:40.417,2003,2
wilson,Minardi,1:40.599,2003,2
firman,Jordan,1:40.910,2003,2
barrichello,Ferrari,1:13.807,2003,3
coulthard,McLaren,1:13.818,2003,3
webber,Jaguar,1:13.851,2003,3
raikkonen,McLaren,1:13.866,2003,3
trulli,Renault,1:13.953,2003,3
ralf_schumacher,Williams,1:14.124,2003,3
michael_schumacher,Ferrari,1:14.130,2003,3
fisichella,Jordan,1:14.191,2003,3
montoya,Williams,1:14.223,2003,3
alonso,Renault,1:14.384,2003,3
button,BAR,1:14.504,2003,3
heidfeld,Sauber,1:14.631,2003,3
villeneuve,BAR,1:14.668,2003,3
frentzen,Sauber,1:14.839,2003,3
panis,Toyota,1:14.839,2003,3
firman,Jordan,1:15.240,2003,3
pizzonia,Jaguar,1:15.317,2003,3
matta,Toyota,1:15.641,2003,3
verstappen,Minardi,1:16.542,2003,3
wilson,Minardi,1:16.586,2003,3
michael_schumacher,Ferrari,1:22.327,2003,4
ralf_schumacher,Williams,1:22.341,2003,4
barrichello,Ferrari,1:22.557,2003,4
montoya,Williams,1:22.789,2003,4
webber,Jaguar,1:23.015,2003,4
raikkonen,McLaren,1:23.148,2003,4
villeneuve,BAR,1:23.160,2003,4
alonso,Renault,1:23.169,2003,4
button,BAR,1:23.381,2003,4
panis,Toyota,1:23.460,2003,4
heidfeld,Sauber,1:23.700,2003,4
coulthard,McLaren,1:23.818,2003,4
matta,Toyota,1:23.838,2003,4
frentzen,Sauber,1:23.932,2003,4
pizzonia,Jaguar,1:24.147,2003,4
trulli,Renault,1:24.190,2003,4
fisichella,Jordan,1:24.317,2003,4
wilson,Minardi,1:25.826,2003,4
firman,Jordan,1:26.357,2003,4
verstappen,Minardi,00.000,2003,4
michael_schumacher,Ferrari,1:17.762,2003,5
barrichello,Ferrari,1:18.020,2003,5
alonso,Renault,1:18.233,2003,5
trulli,Renault,1:18.615,2003,5
button,BAR,1:18.704,2003,5
panis,Toyota,1:18.811,2003,5
ralf_schumacher,Williams,1:19.006,2003,5
coulthard,McLaren,1:19.128,2003,5
montoya,Williams,1:19.377,2003,5
frentzen,Sauber,1:19.427,2003,5
villeneuve,BAR,1:19.563,2003,5
webber,Jaguar,1:19.615,2003,5
matta,Toyota,1:19.623,2003,5
heidfeld,Sauber,1:19.646,2003,5
firman,Jordan,1:20.215,2003,5
pizzonia,Jaguar,1:20.308,2003,5
fisichella,Jordan,1:20.976,2003,5
wilson,Minardi,1:22.104,2003,5
verstappen,Minardi,1:22.237,2003,5
raikkonen,McLaren,00.000,2003,5
michael_schumacher,Ferrari,1:09.150,2003,6
raikkonen,McLaren,1:09.189,2003,6
montoya,Williams,1:09.391,2003,6
heidfeld,Sauber,1:09.725,2003,6
barrichello,Ferrari,1:09.784,2003,6
trulli,Renault,1:09.890,2003,6
button,BAR,1:09.935,2003,6
pizzonia,Jaguar,1:10.045,2003,6
fisichella,Jordan,1:10.105,2003,6
ralf_schumacher,Williams,1:10.279,2003,6
panis,Toyota,1:10.402,2003,6
villeneuve,BAR,1:10.618,2003,6
matta,Toyota,1:10.834,2003,6
coulthard,McLaren,1:10.893,2003,6
frentzen,Sauber,1:11.307,2003,6
firman,Jordan,1:11.505,2003,6
webber,Jaguar,1:11.662,2003,6
wilson,Minardi,1:14.508,2003,6
alonso,Renault,1:20.113,2003,6
verstappen,Minardi,00.000,2003,6
ralf_schumacher,Williams,1:15.259,2003,7
raikkonen,McLaren,1:15.295,2003,7
montoya,Williams,1:15.415,2003,7
trulli,Renault,1:15.500,2003,7
michael_schumacher,Ferrari,1:15.644,2003,7
coulthard,McLaren,1:15.700,2003,7
barrichello,Ferrari,1:15.820,2003,7
alonso,Renault,1:15.884,2003,7
webber,Jaguar,1:16.237,2003,7
matta,Toyota,1:16.744,2003,7
villeneuve,BAR,1:16.755,2003,7
fisichella,Jordan,1:16.967,2003,7
pizzonia,Jaguar,1:17.103,2003,7
heidfeld,Sauber,1:17.176,2003,7
frentzen,Sauber,1:17.402,2003,7
firman,Jordan,1:17.452,2003,7
panis,Toyota,1:17.464,2003,7
verstappen,Minardi,1:18.706,2003,7
wilson,Minardi,1:20.063,2003,7
button,BAR,00.000,2003,7
ralf_schumacher,Williams,1:15.529,2003,8
montoya,Williams,1:15.923,2003,8
michael_schumacher,Ferrari,1:16.047,2003,8
alonso,Renault,1:16.048,2003,8
barrichello,Ferrari,1:16.143,2003,8
webber,Jaguar,1:16.182,2003,8
panis,Toyota,1:16.598,2003,8
trulli,Renault,1:16.718,2003,8
matta,Toyota,1:16.826,2003,8
frentzen,Sauber,1:16.939,2003,8
coulthard,McLaren,1:17.024,2003,8
heidfeld,Sauber,1:17.086,2003,8
pizzonia,Jaguar,1:17.337,2003,8
villeneuve,BAR,1:17.347,2003,8
verstappen,Minardi,1:18.014,2003,8
fisichella,Jordan,1:18.036,2003,8
button,BAR,1:18.205,2003,8
wilson,Minardi,1:18.560,2003,8
firman,Jordan,1:18.692,2003,8
raikkonen,McLaren,00.000,2003,8
raikkonen,McLaren,1:31.523,2003,9
michael_schumacher,Ferrari,1:31.555,2003,9
ralf_schumacher,Williams,1:31.619,2003,9
montoya,Williams,1:31.765,2003,9
barrichello,Ferrari,1:31.780,2003,9
trulli,Renault,1:31.976,2003,9
panis,Toyota,1:32.350,2003,9
alonso,Renault,1:32.424,2003,9
coulthard,McLaren,1:32.742,2003,9
matta,Toyota,1:32.949,2003,9
webber,Jaguar,1:33.066,2003,9
button,BAR,1:33.395,2003,9
fisichella,Jordan,1:33.553,2003,9
firman,Jordan,1:33.827,2003,9
frentzen,Sauber,1:34.000,2003,9
pizzonia,Jaguar,1:34.159,2003,9
villeneuve,BAR,1:34.596,2003,9
verstappen,Minardi,1:36.318,2003,9
wilson,Minardi,1:36.485,2003,9
heidfeld,Sauber,00.000,2003,9
ralf_schumacher,Williams,1:15.019,2003,10
montoya,Williams,1:15.136,2003,10
michael_schumacher,Ferrari,1:15.480,2003,10
raikkonen,McLaren,1:15.533,2003,10
coulthard,McLaren,1:15.628,2003,10
trulli,Renault,1:15.967,2003,10
alonso,Renault,1:16.087,2003,10
barrichello,Ferrari,1:16.166,2003,10
webber,Jaguar,1:16.308,2003,10
panis,Toyota,1:16.345,2003,10
pizzonia,Jaguar,1:16.965,2003,10
villeneuve,BAR,1:16.990,2003,10
matta,Toyota,1:17.068,2003,10
button,BAR,1:17.077,2003,10
heidfeld,Sauber,1:17.445,2003,10
frentzen,Sauber,1:17.562,2003,10
fisichella,Jordan,1:18.431,2003,10
firman,Jordan,1:18.514,2003,10
verstappen,Minardi,1:18.709,2003,10
wilson,Minardi,1:19.619,2003,10
barrichello,Ferrari,1:21.209,2003,11
trulli,Renault,1:21.381,2003,11
raikkonen,McLaren,1:21.695,2003,11
ralf_schumacher,Williams,1:21.727,2003,11
michael_schumacher,Ferrari,1:21.867,2003,11
matta,Toyota,1:22.081,2003,11
montoya,Williams,1:22.214,2003,11
alonso,Renault,1:22.404,2003,11
villeneuve,BAR,1:22.591,2003,11
pizzonia,Jaguar,1:22.634,2003,11
webber,Jaguar,1:22.647,2003,11
coulthard,McLaren,1:22.811,2003,11
panis,Toyota,1:23.042,2003,11
frentzen,Sauber,1:23.187,2003,11
fisichella,Jordan,1:23.574,2003,11
heidfeld,Sauber,1:23.844,2003,11
firman,Jordan,1:24.385,2003,11
wilson,Minardi,1:25.468,2003,11
verstappen,Minardi,1:25.759,2003,11
button,BAR,00.000,2003,11
montoya,Williams,1:15.167,2003,12
ralf_schumacher,Williams,1:15.185,2003,12
barrichello,Ferrari,1:15.488,2003,12
trulli,Renault,1:15.679,2003,12
raikkonen,McLaren,1:15.874,2003,12
michael_schumacher,Ferrari,1:15.898,2003,12
panis,Toyota,1:16.034,2003,12
alonso,Renault,1:16.483,2003,12
matta,Toyota,1:16.550,2003,12
coulthard,McLaren,1:16.666,2003,12
webber,Jaguar,1:16.775,2003,12
fisichella,Jordan,1:16.831,2003,12
villeneuve,BAR,1:17.090,2003,12
frentzen,Sauber,1:17.169,2003,12
heidfeld,Sauber,1:17.557,2003,12
wilson,Jaguar,1:18.021,2003,12
button,BAR,1:18.085,2003,12
firman,Jordan,1:18.341,2003,12
verstappen,Minardi,1:19.023,2003,12
kiesa,Minardi,1:19.174,2003,12
alonso,Renault,1:21.688,2003,13
ralf_schumacher,Williams,1:21.944,2003,13
webber,Jaguar,1:22.027,2003,13
montoya,Williams,1:22.180,2003,13
barrichello,Ferrari,1:22.180,2003,13
trulli,Renault,1:22.610,2003,13
raikkonen,McLaren,1:22.742,2003,13
michael_schumacher,Ferrari,1:22.755,2003,13
coulthard,McLaren,1:23.060,2003,13
panis,Toyota,1:23.369,2003,13
heidfeld,Sauber,1:23.621,2003,13
wilson,Jaguar,1:23.660,2003,13
fisichella,Jordan,1:23.726,2003,13
button,BAR,1:23.847,2003,13
matta,Toyota,1:23.982,2003,13
villeneuve,BAR,1:24.100,2003,13
frentzen,Sauber,1:24.569,2003,13
verstappen,Minardi,1:26.423,2003,13
baumgartner,Jordan,1:26.678,2003,13
kiesa,Minardi,1:28.907,2003,13
michael_schumacher,Ferrari,1:20.963,2003,14
montoya,Williams,1:21.014,2003,14
barrichello,Ferrari,1:21.242,2003,14
raikkonen,McLaren,1:21.466,2003,14
gene,Williams,1:21.834,2003,14
trulli,Renault,1:21.944,2003,14
button,BAR,1:22.301,2003,14
coulthard,McLaren,1:22.471,2003,14
panis,Toyota,1:22.488,2003,14
villeneuve,BAR,1:22.717,2003,14
webber,Jaguar,1:22.754,2003,14
matta,Toyota,1:22.914,2003,14
fisichella,Jordan,1:22.992,2003,14
frentzen,Sauber,1:23.216,2003,14
wilson,Jaguar,1:23.484,2003,14
heidfeld,Sauber,1:23.803,2003,14
verstappen,Minardi,1:25.078,2003,14
baumgartner,Jordan,1:25.881,2003,14
kiesa,Minardi,1:26.778,2003,14
alonso,Renault,1:40.405,2003,14
raikkonen,McLaren,1:11.670,2003,15
barrichello,Ferrari,1:11.794,2003,15
panis,Toyota,1:11.920,2003,15
montoya,Williams,1:11.948,2003,15
ralf_schumacher,Williams,1:12.078,2003,15
alonso,Renault,1:12.087,2003,15
michael_schumacher,Ferrari,1:12.194,2003,15
coulthard,McLaren,1:12.297,2003,15
matta,Toyota,1:12.326,2003,15
trulli,Renault,1:12.566,2003,15
button,BAR,1:12.695,2003,15
villeneuve,BAR,1:13.050,2003,15
heidfeld,Sauber,1:13.083,2003,15
webber,Jaguar,1:13.269,2003,15
frentzen,Sauber,1:13.447,2003,15
wilson,Jaguar,1:13.585,2003,15
fisichella,Jordan,1:13.798,2003,15
firman,Jordan,1:14.027,2003,15
verstappen,Minardi,1:15.360,2003,15
kiesa,Minardi,1:15.644,2003,15
barrichello,Ferrari,1:31.713,2003,16
montoya,Williams,1:32.412,2003,16
matta,Toyota,1:32.419,2003,16
panis,Toyota,1:32.862,2003,16
alonso,Renault,1:33.044,2003,16
webber,Jaguar,1:33.106,2003,16
coulthard,McLaren,1:33.137,2003,16
raikkonen,McLaren,1:33.272,2003,16
button,BAR,1:33.474,2003,16
wilson,Jaguar,1:33.558,2003,16
heidfeld,Sauber,1:33.632,2003,16
frentzen,Sauber,1:33.896,2003,16
sato,BAR,1:33.924,2003,16
michael_schumacher,Ferrari,1:34.302,2003,16
firman,Jordan,1:34.771,2003,16
fisichella,Jordan,1:34.912,2003,16
verstappen,Minardi,1:34.975,2003,16
kiesa,Minardi,1:37.226,2003,16
ralf_schumacher,Williams,00.000,2003,16
trulli,Renault,00.000,2003,16
michael_schumacher,Ferrari,1:24.408,2004,1
barrichello,Ferrari,1:24.482,2004,1
montoya,Williams,1:24.998,2004,1
button,BAR,1:24.998,2004,1
alonso,Renault,1:25.699,2004,1
webber,Jaguar,1:25.805,2004,1
sato,BAR,1:25.851,2004,1
ralf_schumacher,Williams,1:25.925,2004,1
trulli,Renault,1:26.290,2004,1
raikkonen,McLaren,1:26.297,2004,1
massa,Sauber,1:27.065,2004,1
coulthard,McLaren,1:27.294,2004,1
matta,Toyota,1:27.823,2004,1
fisichella,Sauber,1:27.845,2004,1
heidfeld,Jordan,1:28.178,2004,1
pantano,Jordan,1:30.140,2004,1
baumgartner,Minardi,1:30.681,2004,1
panis,Toyota,00.000,2004,1
klien,Jaguar,00.000,2004,1
bruni,Minardi,00.000,2004,1
michael_schumacher,Ferrari,1:33.074,2004,2
webber,Jaguar,1:33.715,2004,2
barrichello,Ferrari,1:33.756,2004,2
montoya,Williams,1:34.054,2004,2
raikkonen,McLaren,1:34.164,2004,2
button,BAR,1:34.221,2004,2
ralf_schumacher,Williams,1:34.235,2004,2
trulli,Renault,1:34.413,2004,2
coulthard,McLaren,1:34.602,2004,2
matta,Toyota,1:34.917,2004,2
massa,Sauber,1:35.039,2004,2
fisichella,Sauber,1:35.061,2004,2
klien,Jaguar,1:35.158,2004,2
panis,Toyota,1:35.617,2004,2
heidfeld,Jordan,1:36.569,2004,2
bruni,Minardi,1:38.577,2004,2
baumgartner,Minardi,1:39.272,2004,2
pantano,Jordan,1:39.902,2004,2
alonso,Renault,00.000,2004,2
sato,BAR,00.000,2004,2
michael_schumacher,Ferrari,1:30.139,2004,3
barrichello,Ferrari,1:30.530,2004,3
montoya,Williams,1:30.581,2004,3
ralf_schumacher,Williams,1:30.633,2004,3
sato,BAR,1:30.827,2004,3
button,BAR,1:30.856,2004,3
trulli,Renault,1:30.971,2004,3
panis,Toyota,1:31.686,2004,3
matta,Toyota,1:31.717,2004,3
coulthard,McLaren,1:31.719,2004,3
fisichella,Sauber,1:31.731,2004,3
klien,Jaguar,1:32.332,2004,3
massa,Sauber,1:32.536,2004,3
webber,Jaguar,1:32.625,2004,3
heidfeld,Jordan,1:33.506,2004,3
pantano,Jordan,1:34.105,2004,3
alonso,Renault,1:34.130,2004,3
bruni,Minardi,1:34.584,2004,3
baumgartner,Minardi,1:35.787,2004,3
raikkonen,McLaren,00.000,2004,3
button,BAR,1:19.753,2004,4
michael_schumacher,Ferrari,1:20.011,2004,4
montoya,Williams,1:20.212,2004,4
barrichello,Ferrari,1:20.451,2004,4
ralf_schumacher,Williams,1:20.538,2004,4
alonso,Renault,1:20.895,2004,4
sato,BAR,1:20.913,2004,4
webber,Jaguar,1:20.921,2004,4
trulli,Renault,1:21.034,2004,4
matta,Toyota,1:21.087,2004,4
coulthard,McLaren,1:21.091,2004,4
massa,Sauber,1:21.532,2004,4
panis,Toyota,1:21.558,2004,4
klien,Jaguar,1:21.949,2004,4
pantano,Jordan,1:23.352,2004,4
heidfeld,Jordan,1:23.488,2004,4
bruni,Minardi,1:26.899,2004,4
baumgartner,Minardi,1:46.299,2004,4
fisichella,Sauber,00.000,2004,4
raikkonen,McLaren,00.000,2004,4
michael_schumacher,Ferrari,1:15.022,2004,5
montoya,Williams,1:15.639,2004,5
sato,BAR,1:15.809,2004,5
trulli,Renault,1:16.144,2004,5
barrichello,Ferrari,1:16.272,2004,5
ralf_schumacher,Williams,1:16.293,2004,5
panis,Toyota,1:16.313,2004,5
alonso,Renault,1:16.422,2004,5
webber,Jaguar,1:16.514,2004,5
coulthard,McLaren,1:16.636,2004,5
matta,Toyota,1:17.038,2004,5
fisichella,Sauber,1:17.444,2004,5
raikkonen,McLaren,1:17.445,2004,5
button,BAR,1:17.575,2004,5
heidfeld,Jordan,1:17.802,2004,5
klien,Jaguar,1:17.812,2004,5
massa,Sauber,1:17.866,2004,5
bruni,Minardi,1:19.817,2004,5
pantano,Jordan,1:20.607,2004,5
baumgartner,Minardi,1:21.470,2004,5
trulli,Renault,1:13.985,2004,6
ralf_schumacher,Williams,1:14.345,2004,6
button,BAR,1:14.396,2004,6
alonso,Renault,1:14.408,2004,6
michael_schumacher,Ferrari,1:14.516,2004,6
raikkonen,McLaren,1:14.592,2004,6
barrichello,Ferrari,1:14.716,2004,6
sato,BAR,1:14.827,2004,6
coulthard,McLaren,1:14.951,2004,6
montoya,Williams,1:15.039,2004,6
fisichella,Sauber,1:15.352,2004,6
webber,Jaguar,1:15.725,2004,6
panis,Toyota,1:15.859,2004,6
klien,Jaguar,1:15.919,2004,6
matta,Toyota,1:16.169,2004,6
massa,Sauber,1:16.248,2004,6
heidfeld,Jordan,1:16.488,2004,6
pantano,Jordan,1:17.443,2004,6
baumgartner,Minardi,1:20.060,2004,6
bruni,Minardi,1:20.115,2004,6
michael_schumacher,Ferrari,1:28.351,2004,7
sato,BAR,1:28.986,2004,7
trulli,Renault,1:29.135,2004,7
raikkonen,McLaren,1:29.137,2004,7
button,BAR,1:29.245,2004,7
alonso,Renault,1:29.313,2004,7
barrichello,Ferrari,1:29.353,2004,7
montoya,Williams,1:29.354,2004,7
ralf_schumacher,Williams,1:29.459,2004,7
panis,Toyota,1:29.697,2004,7
matta,Toyota,1:29.706,2004,7
klien,Jaguar,1:31.431,2004,7
heidfeld,Jordan,1:31.604,2004,7
webber,Jaguar,1:31.797,2004,7
pantano,Jordan,1:31.979,2004,7
massa,Sauber,1:31.982,2004,7
baumgartner,Minardi,1:34.398,2004,7
coulthard,McLaren,00.000,2004,7
fisichella,Sauber,00.000,2004,7
bruni,Minardi,00.000,2004,7
ralf_schumacher,Williams,1:12.275,2004,8
button,BAR,1:12.341,2004,8
trulli,Renault,1:13.023,2004,8
montoya,Williams,1:13.072,2004,8
alonso,Renault,1:13.308,2004,8
michael_schumacher,Ferrari,1:13.355,2004,8
barrichello,Ferrari,1:13.562,2004,8
raikkonen,McLaren,1:13.595,2004,8
coulthard,McLaren,1:13.681,2004,8
klien,Jaguar,1:14.532,2004,8
fisichella,Sauber,1:14.674,2004,8
matta,Toyota,1:14.851,2004,8
panis,Toyota,1:14.891,2004,8
webber,Jaguar,1:15.148,2004,8
heidfeld,Jordan,1:15.321,2004,8
glock,Jordan,1:16.323,2004,8
sato,BAR,1:17.004,2004,8
baumgartner,Minardi,1:17.064,2004,8
massa,Sauber,00.000,2004,8
bruni,Minardi,00.000,2004,8
barrichello,Ferrari,1:10.223,2004,9
michael_schumacher,Ferrari,1:10.400,2004,9
sato,BAR,1:10.601,2004,9
button,BAR,1:10.820,2004,9
montoya,Williams,1:11.062,2004,9
ralf_schumacher,Williams,1:11.106,2004,9
raikkonen,McLaren,1:11.137,2004,9
panis,Toyota,1:11.167,2004,9
alonso,Renault,1:11.185,2004,9
webber,Jaguar,1:11.286,2004,9
matta,Toyota,1:11.691,2004,9
coulthard,McLaren,1:12.026,2004,9
klien,Jaguar,1:12.170,2004,9
fisichella,Sauber,1:12.470,2004,9
massa,Sauber,1:12.721,2004,9
heidfeld,Jordan,1:13.147,2004,9
pantano,Jordan,1:13.375,2004,9
bruni,Minardi,1:14.010,2004,9
baumgartner,Minardi,1:14.812,2004,9
trulli,Renault,00.000,2004,9
alonso,Renault,1:13.698,2004,10
michael_schumacher,Ferrari,1:13.971,2004,10
coulthard,McLaren,1:13.987,2004,10
button,BAR,1:13.995,2004,10
trulli,Renault,1:14.070,2004,10
montoya,Williams,1:14.172,2004,10
sato,BAR,1:14.240,2004,10
gene,Williams,1:14.275,2004,10
raikkonen,McLaren,1:14.346,2004,10
barrichello,Ferrari,1:14.478,2004,10
matta,Toyota,1:14.553,2004,10
webber,Jaguar,1:14.798,2004,10
klien,Jaguar,1:15.065,2004,10
panis,Toyota,1:15.130,2004,10
fisichella,Sauber,1:16.177,2004,10
massa,Sauber,1:16.200,2004,10
heidfeld,Jordan,1:16.807,2004,10
pantano,Jordan,1:17.462,2004,10
bruni,Minardi,1:17.913,2004,10
baumgartner,Minardi,1:18.247,2004,10
raikkonen,McLaren,1:18.233,2004,11
barrichello,Ferrari,1:18.305,2004,11
button,BAR,1:18.580,2004,11
michael_schumacher,Ferrari,1:18.710,2004,11
trulli,Renault,1:18.715,2004,11
alonso,Renault,1:18.811,2004,11
coulthard,McLaren,1:19.148,2004,11
montoya,Williams,1:19.378,2004,11
sato,BAR,1:19.688,2004,11
webber,Jaguar,1:20.004,2004,11
massa,Sauber,1:20.202,2004,11
panis,Toyota,1:20.335,2004,11
gene,Williams,1:20.335,2004,11
matta,Toyota,1:20.545,2004,11
klien,Jaguar,1:21.559,2004,11
pantano,Jordan,1:22.458,2004,11
heidfeld,Jordan,1:22.677,2004,11
bruni,Minardi,1:23.437,2004,11
baumgartner,Minardi,1:24.117,2004,11
fisichella,Sauber,00.000,2004,11
michael_schumacher,Ferrari,1:13.306,2004,12
montoya,Williams,1:13.668,2004,12
button,BAR,1:13.674,2004,12
raikkonen,McLaren,1:13.690,2004,12
coulthard,McLaren,1:13.821,2004,12
alonso,Renault,1:13.874,2004,12
trulli,Renault,1:14.134,2004,12
barrichello,Ferrari,1:14.278,2004,12
sato,BAR,1:14.287,2004,12
panis,Toyota,1:14.368,2004,12
pizzonia,Williams,1:14.556,2004,12
webber,Jaguar,1:14.802,2004,12
klien,Jaguar,1:15.011,2004,12
fisichella,Sauber,1:15.395,2004,12
matta,Toyota,1:15.454,2004,12
massa,Sauber,1:15.616,2004,12
pantano,Jordan,1:16.192,2004,12
heidfeld,Jordan,1:16.310,2004,12
bruni,Minardi,1:18.055,2004,12
baumgartner,Minardi,1:18.400,2004,12
michael_schumacher,Ferrari,1:19.146,2004,13
barrichello,Ferrari,1:19.323,2004,13
sato,BAR,1:19.693,2004,13
button,BAR,1:19.700,2004,13
alonso,Renault,1:19.996,2004,13
pizzonia,Williams,1:20.170,2004,13
montoya,Williams,1:20.199,2004,13
fisichella,Sauber,1:20.324,2004,13
trulli,Renault,1:20.411,2004,13
raikkonen,McLaren,1:20.570,2004,13
webber,Jaguar,1:20.730,2004,13
coulthard,McLaren,1:20.897,2004,13
panis,Toyota,1:21.068,2004,13
klien,Jaguar,1:21.118,2004,13
zonta,Toyota,1:21.135,2004,13
heidfeld,Jordan,1:22.180,2004,13
pantano,Jordan,1:22.356,2004,13
baumgartner,Minardi,1:24.329,2004,13
bruni,Minardi,1:24.679,2004,13
massa,Sauber,00.000,2004,13
trulli,Renault,1:56.232,2004,14
michael_schumacher,Ferrari,1:56.304,2004,14
alonso,Renault,1:56.686,2004,14
coulthard,McLaren,1:57.990,2004,14
fisichella,Sauber,1:58.040,2004,14
barrichello,Ferrari,1:58.175,2004,14
webber,Jaguar,1:58.729,2004,14
massa,Sauber,1:59.008,2004,14
panis,Toyota,1:59.552,2004,14
raikkonen,McLaren,1:59.635,2004,14
montoya,Williams,1:59.681,2004,14
button,BAR,2:00.237,2004,14
klien,Jaguar,2:01.246,2004,14
pizzonia,Williams,2:01.447,2004,14
sato,BAR,2:01.813,2004,14
heidfeld,Jordan,2:02.645,2004,14
bruni,Minardi,2:02.651,2004,14
baumgartner,Minardi,2:03.303,2004,14
pantano,Jordan,2:03.833,2004,14
zonta,Toyota,2:03.895,2004,14
barrichello,Ferrari,1:20.089,2004,15
montoya,Williams,1:20.620,2004,15
michael_schumacher,Ferrari,1:20.637,2004,15
alonso,Renault,1:20.645,2004,15
sato,BAR,1:20.715,2004,15
button,BAR,1:20.786,2004,15
raikkonen,McLaren,1:20.877,2004,15
pizzonia,Williams,1:20.888,2004,15
trulli,Renault,1:21.027,2004,15
coulthard,McLaren,1:21.049,2004,15
zonta,Toyota,1:21.520,2004,15
webber,Jaguar,1:21.602,2004,15
panis,Toyota,1:21.841,2004,15
klien,Jaguar,1:21.989,2004,15
fisichella,Sauber,1:22.239,2004,15
massa,Sauber,1:22.287,2004,15
heidfeld,Jordan,1:22.301,2004,15
pantano,Jordan,1:23.239,2004,15
baumgartner,Minardi,1:24.808,2004,15
bruni,Minardi,1:24.910,2004,15
barrichello,Ferrari,1:34.012,2004,16
raikkonen,McLaren,1:34.178,2004,16
button,BAR,1:34.295,2004,16
massa,Sauber,1:34.759,2004,16
ralf_schumacher,Williams,1:34.891,2004,16
alonso,Renault,1:34.917,2004,16
fisichella,Sauber,1:34.951,2004,16
panis,Toyota,1:34.975,2004,16
sato,BAR,1:34.993,2004,16
coulthard,McLaren,1:35.029,2004,16
montoya,Williams,1:35.245,2004,16
webber,Jaguar,1:35.286,2004,16
villeneuve,Renault,1:35.384,2004,16
zonta,Toyota,1:35.410,2004,16
heidfeld,Jordan,1:36.507,2004,16
klien,Jaguar,1:36.535,2004,16
glock,Jordan,1:37.140,2004,16
baumgartner,Minardi,1:40.240,2004,16
bruni,Minardi,00.000,2004,16
michael_schumacher,Ferrari,00.000,2004,16
michael_schumacher,Ferrari,1:33.542,2004,17
ralf_schumacher,Williams,1:34.032,2004,17
webber,Jaguar,1:34.571,2004,17
sato,BAR,1:34.897,2004,17
button,BAR,1:35.157,2004,17
trulli,Toyota,1:35.213,2004,17
fisichella,Sauber,1:36.136,2004,17
coulthard,McLaren,1:36.156,2004,17
villeneuve,Renault,1:36.274,2004,17
panis,Toyota,1:36.420,2004,17
alonso,Renault,1:36.663,2004,17
raikkonen,McLaren,1:36.820,2004,17
montoya,Williams,1:37.653,2004,17
klien,Jaguar,1:38.258,2004,17
barrichello,Ferrari,1:38.637,2004,17
heidfeld,Jordan,1:41.953,2004,17
glock,Jordan,1:43.533,2004,17
bruni,Minardi,1:48.069,2004,17
baumgartner,Minardi,00.000,2004,17
massa,Sauber,00.000,2004,17
barrichello,Ferrari,1:10.646,2004,18
montoya,Williams,1:10.850,2004,18
raikkonen,McLaren,1:10.892,2004,18
massa,Sauber,1:10.922,2004,18
button,BAR,1:11.092,2004,18
sato,BAR,1:11.120,2004,18
ralf_schumacher,Williams,1:11.131,2004,18
michael_schumacher,Ferrari,1:11.386,2004,18
alonso,Renault,1:11.454,2004,18
trulli,Toyota,1:11.483,2004,18
fisichella,Sauber,1:11.571,2004,18
webber,Jaguar,1:11.665,2004,18
coulthard,McLaren,1:11.750,2004,18
villeneuve,Renault,1:11.836,2004,18
zonta,Toyota,1:11.974,2004,18
klien,Jaguar,1:12.211,2004,18
heidfeld,Jordan,1:12.829,2004,18
glock,Jordan,1:13.502,2004,18
baumgartner,Minardi,1:13.550,2004,18
bruni,Minardi,00.000,2004,18
fisichella,Renault,1:28.289,2005,1
trulli,Toyota,1:29.159,2005,1
webber,Williams,1:28.279,2005,1
villeneuve,Sauber,1:29.862,2005,1
coulthard,Red Bull,1:28.892,2005,1
