season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
2003,8,sauber,8,0,7
2003,8,jaguar,6,0,8
2003,8,toyota,4,0,9
2003,8,minardi,0,0,10
2003,9,ferrari,95,4,1
2003,9,williams,82,2,2
2003,9,mclaren,76,2,3
2003,9,renault,52,0,4
2003,9,bar,13,0,5
2003,9,jordan,11,1,6
2003,9,sauber,9,0,7
2003,9,jaguar,9,0,8
2003,9,toyota,4,0,9
2003,9,minardi,0,0,10
2003,10,ferrari,103,4,1
2003,10,williams,100,3,2
2003,10,mclaren,85,2,3
2003,10,renault,52,0,4
2003,10,bar,13,0,5
2003,10,jaguar,12,0,6
2003,10,jordan,11,1,7
2003,10,sauber,9,0,8
2003,10,toyota,5,0,9
2003,10,minardi,0,0,10
2003,11,ferrari,118,5,1
2003,11,williams,108,3,2
2003,11,mclaren,95,2,3
2003,11,renault,55,0,4
2003,11,bar,14,0,5
2003,11,jaguar,12,0,6
2003,11,jordan,11,1,7
2003,11,sauber,9,0,8
2003,11,toyota,7,0,9
2003,11,minardi,0,0,10
2003,12,ferrari,120,5,1
2003,12,williams,118,4,2
2003,12,mclaren,103,2,3
2003,12,renault,66,0,4
2003,12,bar,15,0,5
2003,12,toyota,14,0,6
2003,12,jaguar,12,0,7
2003,12,jordan,11,1,8
2003,12,sauber,9,0,9
2003,12,minardi,0,0,10
2003,13,williams,129,4,1
2003,13,ferrari,121,5,2
2003,13,mclaren,115,2,3
2003,13,renault,78,1,4
2003,13,bar,15,0,5
2003,13,jaguar,15,0,6
2003,13,toyota,14,0,7
2003,13,jordan,11,1,8
2003,13,sauber,9,0,9
2003,13,minardi,0,0,10
2003,14,williams,141,4,1
2003,14,ferrari,137,6,2
2003,14,mclaren,120,2,3
2003,14,renault,79,1,4
2003,14,bar,18,0,5
2003,14,jaguar,17,0,6
2003,14,toyota,14,0,7
2003,14,jordan,11,1,8
2003,14,sauber,9,0,9
2003,14,minardi,0,0,10
2003,15,ferrari,147,7,1
2003,15,williams,144,4,2
2003,15,mclaren,128,2,3
2003,15,renault,84,1,4
2003,15,sauber,19,0,5
2003,15,bar,18,0,6
2003,15,jaguar,18,0,7
2003,15,toyota,14,0,8
2003,15,jordan,13,1,9
2003,15,minardi,0,0,10
2003,16,ferrari,158,8,1
2003,16,williams,144,4,2
2003,16,mclaren,142,2,3
2003,16,renault,88,1,4
2003,16,bar,26,0,5
2003,16,sauber,19,0,6
2003,16,jaguar,18,0,7
2003,16,toyota,16,0,8
2003,16,jordan,13,1,9
2003,16,minardi,0,0,10
2004,1,ferrari,18,1,1
2004,1,williams,9,0,2
2004,1,renault,8,0,3
2004,1,bar,3,0,4
2004,1,mclaren,1,0,5
2004,1,sauber,0,0,6
2004,1,jaguar,0,0,7
2004,1,toyota,0,0,8
2004,1,jordan,0,0,9
2004,2,ferrari,33,2,1
2004,2,williams,17,0,2
2004,2,renault,14,0,3
2004,2,bar,9,0,4
2004,2,mclaren,4,0,5
2004,2,sauber,1,0,6
2004,2,toyota,0,0,7
2004,2,jaguar,0,0,8
2004,2,jordan,0,0,9
2004,2,minardi,0,0,10
2004,3,ferrari,51,3,1
2004,3,renault,22,0,2
2004,3,williams,19,0,3
2004,3,bar,19,0,4
2004,3,mclaren,4,0,5
2004,3,sauber,1,0,6
2004,3,jaguar,1,0,7
2004,3,toyota,0,0,8
2004,3,jordan,0,0,9
2004,3,minardi,0,0,10
2004,4,ferrari,64,4,1
2004,4,renault,31,0,2
2004,4,bar,27,0,3
2004,4,williams,27,0,4
2004,4,mclaren,5,0,5
2004,4,sauber,1,0,6
2004,4,jaguar,1,0,7
2004,4,toyota,0,0,8
2004,4,jordan,0,0,9
2004,4,minardi,0,0,10
2004,5,ferrari,82,5,1
2004,5,renault,42,0,2
2004,5,bar,32,0,3
2004,5,williams,30,0,4
2004,5,mclaren,5,0,5
2004,5,sauber,3,0,6
2004,5,jaguar,1,0,7
2004,5,toyota,0,0,8
2004,5,jordan,0,0,9
2004,5,minardi,0,0,10
2004,6,ferrari,88,5,1
2004,6,renault,52,1,2
2004,6,bar,40,0,3
2004,6,williams,35,0,4
2004,6,sauber,7,0,5
2004,6,mclaren,5,0,6
2004,6,toyota,4,0,7
2004,6,jordan,2,0,8
2004,6,jaguar,1,0,9
2004,6,minardi,0,0,10
2004,7,ferrari,106,6,1
2004,7,renault,61,1,2
2004,7,bar,46,0,3
2004,7,williams,36,0,4
2004,7,sauber,10,0,5
2004,7,mclaren,5,0,6
2004,7,toyota,4,0,7
2004,7,jaguar,3,0,8
2004,7,jordan,2,0,9
2004,7,minardi,0,0,10
2004,8,ferrari,124,7,1
2004,8,renault,61,1,2
2004,8,bar,52,0,3
2004,8,williams,36,0,4
2004,8,sauber,15,0,5
2004,8,mclaren,12,0,6
2004,8,jordan,5,0,7
2004,8,toyota,4,0,8
2004,8,jaguar,3,0,9
2004,8,minardi,0,0,10
2004,9,ferrari,142,8,1
2004,9,renault,66,1,2
2004,9,bar,58,0,3
2004,9,williams,36,0,4
2004,9,mclaren,17,0,5
2004,9,sauber,15,0,6
2004,9,toyota,8,0,7
2004,9,jordan,5,0,8
2004,9,jaguar,3,0,9
2004,9,minardi,1,0,10
2004,10,ferrari,158,9,1
2004,10,renault,79,1,2
2004,10,bar,62,0,3
2004,10,williams,37,0,4
2004,10,mclaren,22,0,5
2004,10,sauber,15,0,6
2004,10,toyota,8,0,7
2004,10,jordan,5,0,8
2004,10,jaguar,3,0,9
2004,10,minardi,1,0,10
2004,11,ferrari,174,10,1
2004,11,renault,79,1,2
2004,11,bar,67,0,3
2004,11,williams,41,0,4
2004,11,mclaren,32,0,5
2004,11,sauber,18,0,6
2004,11,toyota,8,0,7
2004,11,jordan,5,0,8
2004,11,jaguar,4,0,9
2004,11,minardi,1,0,10
2004,12,ferrari,184,11,1
2004,12,renault,85,1,2
2004,12,bar,76,0,3
2004,12,williams,47,0,4
2004,12,mclaren,37,0,5
2004,12,sauber,18,0,6
2004,12,toyota,8,0,7
2004,12,jaguar,7,0,8
2004,12,jordan,5,0,9
2004,12,minardi,1,0,10
2004,13,ferrari,202,12,1
2004,13,renault,91,1,2
2004,13,bar,83,0,3
2004,13,williams,54,0,4
2004,13,mclaren,37,0,5
2004,13,sauber,19,0,6
2004,13,toyota,8,0,7
2004,13,jaguar,7,0,8
2004,13,jordan,5,0,9
2004,13,minardi,1,0,10
2004,14,ferrari,216,12,1
2004,14,renault,91,1,2
2004,14,bar,83,0,3
2004,14,williams,54,0,4
2004,14,mclaren,49,1,5
2004,14,sauber,28,0,6
2004,14,jaguar,10,0,7
2004,14,toyota,9,0,8
2004,14,jordan,5,0,9
2004,14,minardi,1,0,10
2004,15,ferrari,234,13,1
2004,15,bar,94,0,2
2004,15,renault,91,1,3
2004,15,williams,60,0,4
2004,15,mclaren,52,1,5
2004,15,sauber,29,0,6
2004,15,jaguar,10,0,7
2004,15,toyota,9,0,8
2004,15,jordan,5,0,9
2004,15,minardi,1,0,10
2004,16,ferrari,244,14,1
2004,16,bar,105,0,2
2004,16,renault,96,1,3
2004,16,williams,64,0,4
2004,16,mclaren,58,1,5
2004,16,sauber,32,0,6
2004,16,jaguar,10,0,7
2004,16,toyota,9,0,8
2004,16,jordan,5,0,9
2004,16,minardi,1,0,10
2004,17,ferrari,254,15,1
2004,17,bar,116,0,2
2004,17,renault,100,1,3
2004,17,williams,74,0,4
2004,17,mclaren,61,1,5
2004,17,sauber,33,0,6
2004,17,jaguar,10,0,7
2004,17,toyota,9,0,8
2004,17,jordan,5,0,9
2004,17,minardi,1,0,10
2004,18,ferrari,262,15,1
2004,18,bar,119,0,2
2004,18,renault,105,1,3
2004,18,williams,88,1,4
2004,18,mclaren,69,1,5
2004,18,sauber,34,0,6
2004,18,jaguar,10,0,7
2004,18,toyota,9,0,8
2004,18,jordan,5,0,9
2004,18,minardi,1,0,10
2005,1,renault,16,1,1
2005,1,ferrari,8,0,2
2005,1,red_bull,7,0,3
2005,1,williams,4,0,4
2005,1,mclaren,4,0,5
2005,1,toyota,0,0,6
2005,1,sauber,0,0,7
2005,1,jordan,0,0,8
2005,1,minardi,0,0,9
2005,1,bar,0,0,10
2005,2,renault,26,2,1
2005,2,toyota,12,0,2
2005,2,red_bull,11,0,3
2005,2,ferrari,10,0,4
2005,2,williams,10,0,5
2005,2,mclaren,9,0,6
2005,2,sauber,0,0,7
2005,2,jordan,0,0,8
2005,2,minardi,0,0,9
2005,2,bar,0,0,10
2005,3,renault,36,3,1
2005,3,toyota,25,0,2
2005,3,mclaren,19,0,3
2005,3,williams,13,0,4
2005,3,red_bull,12,0,5
2005,3,ferrari,10,0,6
2005,3,sauber,2,0,7
2005,3,jordan,0,0,8
2005,3,minardi,0,0,9
2005,3,bar,0,0,10
2005,4,renault,46,4,1
2005,4,toyota,29,0,2
2005,4,mclaren,25,0,3
2005,4,ferrari,18,0,4
2005,4,williams,18,0,5
2005,4,red_bull,13,0,6
2005,4,sauber,7,0,7
2005,4,jordan,0,0,8
2005,4,minardi,0,0,9
2005,4,bar,0,0,10
2005,5,renault,58,4,1
2005,5,toyota,40,0,2
2005,5,mclaren,37,1,3
2005,5,williams,21,0,4
2005,5,ferrari,18,0,5
2005,5,red_bull,14,0,6
2005,5,sauber,7,0,7
2005,5,jordan,0,0,8
2005,5,minardi,0,0,9
2005,5,bar,0,0,10
2005,6,renault,63,4,1
2005,6,mclaren,51,2,2
2005,6,toyota,43,0,3
2005,6,williams,35,0,4
2005,6,ferrari,21,0,5
2005,6,red_bull,14,0,6
2005,6,sauber,7,0,7
2005,6,jordan,0,0,8
2005,6,minardi,0,0,9
2005,6,bar,0,0,10
2005,7,renault,76,5,1
2005,7,mclaren,53,2,2
2005,7,toyota,44,0,3
2005,7,williams,43,0,4
2005,7,ferrari,31,0,5
2005,7,red_bull,19,0,6
2005,7,sauber,7,0,7
2005,7,jordan,0,0,8
2005,7,bar,0,0,9
2005,7,minardi,0,0,10
2005,8,renault,76,5,1
2005,8,mclaren,63,3,2
2005,8,williams,47,0,3
2005,8,toyota,47,0,4
2005,8,ferrari,45,0,5
2005,8,red_bull,22,0,6
2005,8,sauber,12,0,7
2005,8,jordan,0,0,8
2005,8,bar,0,0,9
2005,8,minardi,0,0,10
2005,9,renault,76,5,1
2005,9,mclaren,63,3,2
2005,9,ferrari,63,1,3
2005,9,williams,47,0,4
2005,9,toyota,47,0,5
2005,9,red_bull,22,0,6
2005,9,sauber,12,0,7
2005,9,jordan,11,0,8
2005,9,minardi,7,0,9
2005,9,bar,0,0,10
2005,10,renault,89,6,1
2005,10,mclaren,71,3,2
2005,10,ferrari,69,1,3
2005,10,toyota,53,0,4
2005,10,williams,47,0,5
2005,10,red_bull,22,0,6
2005,10,sauber,13,0,7
2005,10,jordan,11,0,8
2005,10,minardi,7,0,9
2005,10,bar,5,0,10
2005,11,renault,102,6,1
2005,11,mclaren,87,4,2
2005,11,ferrari,74,1,3
2005,11,toyota,54,0,4
2005,11,williams,47,0,5
2005,11,red_bull,22,0,6
2005,11,sauber,13,0,7
2005,11,jordan,11,0,8
2005,11,bar,9,0,9
2005,11,minardi,7,0,10
2005,12,renault,117,7,1
2005,12,mclaren,95,4,2
2005,12,ferrari,78,1,3
2005,12,toyota,57,0,4
2005,12,williams,47,0,5
2005,12,red_bull,24,0,6
2005,12,bar,15,0,7
2005,12,sauber,14,0,8
2005,12,jordan,11,0,9
2005,12,minardi,7,0,10
2005,13,renault,117,7,1
2005,13,mclaren,105,5,2
2005,13,ferrari,86,1,3
2005,13,toyota,68,0,4
2005,13,williams,52,0,5
2005,13,red_bull,24,0,6
2005,13,bar,20,0,7
2005,13,sauber,14,0,8
2005,13,jordan,11,0,9
2005,13,minardi,7,0,10
2005,14,renault,130,7,1
2005,14,mclaren,121,6,2
2005,14,ferrari,86,1,3
2005,14,toyota,71,0,4
2005,14,williams,52,0,5
2005,14,red_bull,27,0,6
2005,14,bar,24,0,7
2005,14,sauber,14,0,8
2005,14,jordan,11,0,9
2005,14,minardi,7,0,10
2005,15,renault,144,7,1
2005,15,mclaren,136,7,2
2005,15,ferrari,86,1,3
2005,15,toyota,78,0,4
2005,15,williams,54,0,5
2005,15,red_bull,27,0,6
2005,15,bar,25,0,7
2005,15,sauber,14,0,8
2005,15,jordan,11,0,9
2005,15,minardi,7,0,10
2005,16,renault,152,7,1
2005,16,mclaren,146,8,2
2005,16,ferrari,90,1,3
2005,16,toyota,80,0,4
2005,16,williams,59,0,5
2005,16,bar,31,0,6
2005,16,red_bull,27,0,7
2005,16,sauber,17,0,8
2005,16,jordan,12,0,9
2005,16,minardi,7,0,10
2005,17,mclaren,164,9,1
2005,17,renault,162,7,2
2005,17,ferrari,98,1,3
2005,17,toyota,81,0,4
2005,17,williams,59,0,5
2005,17,bar,33,0,6
2005,17,red_bull,27,0,7
2005,17,sauber,17,0,8
2005,17,jordan,12,0,9
2005,17,minardi,7,0,10
2005,18,renault,176,7,1
2005,18,mclaren,174,10,2
2005,18,ferrari,100,1,3
2005,18,toyota,82,0,4
2005,18,williams,64,0,5
2005,18,bar,37,0,6
2005,18,red_bull,30,0,7
2005,18,sauber,17,0,8
2005,18,jordan,12,0,9
2005,18,minardi,7,0,10
2005,19,renault,191,8,1
2005,19,mclaren,182,10,2
2005,19,ferrari,100,1,3
2005,19,toyota,88,0,4
2005,19,williams,66,0,5
2005,19,bar,38,0,6
2005,19,red_bull,34,0,7
2005,19,sauber,20,0,8
2005,19,jordan,12,0,9
2005,19,minardi,7,0,10
2006,1,renault,10,1,1
2006,1,mclaren,10,0,2
2006,1,ferrari,8,0,3
2006,1,honda,5,0,4
2006,1,williams,5,0,5
2006,1,red_bull,1,0,6
2006,1,toro_rosso,0,0,7
2006,1,bmw_sauber,0,0,8
2006,1,toyota,0,0,9
2006,1,mf1,0,0,10
2006,1,super_aguri,0,0,11
2006,2,renault,28,2,1
2006,2,ferrari,15,0,2
2006,2,mclaren,15,0,3
2006,2,honda,11,0,4
2006,2,williams,5,0,5
2006,2,bmw_sauber,2,0,6
2006,2,toyota,1,0,7
2006,2,red_bull,1,0,8
2006,2,toro_rosso,0,0,9
2006,2,mf1,0,0,10
2006,2,super_aguri,0,0,11
2006,3,renault,42,3,1
2006,3,mclaren,23,0,2
2006,3,ferrari,15,0,3
2006,3,honda,13,0,4
2006,3,bmw_sauber,10,0,5
2006,3,toyota,7,0,6
2006,3,williams,5,0,7
2006,3,red_bull,2,0,8
2006,3,toro_rosso,0,0,9
2006,3,mf1,0,0,10
2006,3,super_aguri,0,0,11
2006,4,renault,51,3,1
2006,4,mclaren,33,0,2
2006,4,ferrari,30,1,3
2006,4,honda,15,0,4
2006,4,bmw_sauber,10,0,5
2006,4,williams,8,0,6
2006,4,toyota,7,0,7
2006,4,red_bull,2,0,8
2006,4,toro_rosso,0,0,9
2006,4,mf1,0,0,10
2006,4,super_aguri,0,0,11
2006,5,renault,62,3,1
2006,5,ferrari,46,2,2
2006,5,mclaren,38,0,3
2006,5,honda,19,0,4
2006,5,bmw_sauber,11,0,5
2006,5,williams,10,0,6
2006,5,toyota,7,0,7
2006,5,red_bull,2,0,8
2006,5,toro_rosso,0,0,9
2006,5,mf1,0,0,10
2006,5,super_aguri,0,0,11
2006,6,renault,78,4,1
2006,6,ferrari,59,2,2
2006,6,mclaren,42,0,3
2006,6,honda,24,0,4
2006,6,bmw_sauber,12,0,5
2006,6,williams,10,0,6
2006,6,toyota,7,0,7
2006,6,red_bull,2,0,8
2006,6,toro_rosso,0,0,9
2006,6,mf1,0,0,10
2006,6,super_aguri,0,0,11
2006,7,renault,91,5,1
2006,7,ferrari,63,2,2
2006,7,mclaren,50,0,3
2006,7,honda,29,0,4
2006,7,bmw_sauber,14,0,5
2006,7,williams,10,0,6
2006,7,toyota,8,0,7
2006,7,red_bull,8,0,8
2006,7,toro_rosso,0,0,9
2006,7,mf1,0,0,10
2006,7,super_aguri,0,0,11
2006,8,renault,106,6,1
2006,8,ferrari,75,2,2
2006,8,mclaren,59,0,3
2006,8,honda,29,0,4
2006,8,bmw_sauber,17,0,5
2006,8,williams,10,0,6
2006,8,toyota,8,0,7
2006,8,red_bull,8,0,8
2006,8,toro_rosso,0,0,9
2006,8,mf1,0,0,10
2006,8,super_aguri,0,0,11
2006,9,renault,121,7,1
2006,9,ferrari,87,2,2
2006,9,mclaren,65,0,3
2006,9,honda,29,0,4
2006,9,bmw_sauber,19,0,5
2006,9,toyota,11,0,6
2006,9,williams,10,0,7
2006,9,red_bull,9,0,8
2006,9,toro_rosso,0,0,9
2006,9,mf1,0,0,10
2006,9,super_aguri,0,0,11
2006,10,renault,131,7,1
2006,10,ferrari,105,3,2
2006,10,mclaren,65,0,3
2006,10,honda,32,0,4
2006,10,bmw_sauber,19,0,5
2006,10,toyota,16,0,6
2006,10,red_bull,11,0,7
2006,10,williams,10,0,8
2006,10,toro_rosso,1,0,9
2006,10,mf1,0,0,10
2006,10,super_aguri,0,0,11
2006,11,renault,142,7,1
2006,11,ferrari,121,4,2
2006,11,mclaren,71,0,3
2006,11,honda,32,0,4
2006,11,toyota,21,0,5
2006,11,bmw_sauber,20,0,6
2006,11,red_bull,11,0,7
2006,11,williams,10,0,8
2006,11,toro_rosso,1,0,9
2006,11,mf1,0,0,10
2006,11,super_aguri,0,0,11
2006,12,renault,149,7,1
2006,12,ferrari,139,5,2
2006,12,mclaren,77,0,3
2006,12,honda,37,0,4
2006,12,toyota,23,0,5
2006,12,bmw_sauber,20,0,6
2006,12,red_bull,12,0,7
2006,12,williams,10,0,8
2006,12,toro_rosso,1,0,9
2006,12,mf1,0,0,10
2006,12,super_aguri,0,0,11
2006,13,renault,149,7,1
2006,13,ferrari,142,5,2
2006,13,mclaren,85,0,3
2006,13,honda,52,1,4
2006,13,toyota,26,0,5
2006,13,bmw_sauber,26,0,6
2006,13,red_bull,16,0,7
2006,13,williams,10,0,8
2006,13,toro_rosso,1,0,9
2006,13,mf1,0,0,10
2006,13,super_aguri,0,0,11
2006,14,renault,160,7,1
2006,14,ferrari,158,6,2
2006,14,mclaren,89,0,3
2006,14,honda,58,1,4
2006,14,toyota,28,0,5
2006,14,bmw_sauber,26,0,6
2006,14,red_bull,16,0,7
2006,14,williams,10,0,8
2006,14,toro_rosso,1,0,9
2006,14,mf1,0,0,10
2006,14,super_aguri,0,0,11
2006,15,ferrari,168,7,1
2006,15,renault,165,7,2
2006,15,mclaren,97,0,3
2006,15,honda,65,1,4
2006,15,bmw_sauber,33,0,5
2006,15,toyota,30,0,6
2006,15,red_bull,16,0,7
2006,15,williams,10,0,8
2006,15,toro_rosso,1,0,9
2006,15,mf1,0,0,10
2006,15,super_aguri,0,0,11
2006,15,spyker_mf1,0,0,12
2006,16,renault,179,7,1
2006,16,ferrari,178,8,2
2006,16,mclaren,101,0,3
2006,16,honda,73,1,4
2006,16,bmw_sauber,35,0,5
2006,16,toyota,30,0,6
2006,16,red_bull,16,0,7
2006,16,williams,11,0,8
2006,16,toro_rosso,1,0,9
2006,16,mf1,0,0,10
2006,16,super_aguri,0,0,11
2006,16,spyker_mf1,0,0,12
2006,17,renault,195,8,1
2006,17,ferrari,186,8,2
2006,17,mclaren,105,0,3
2006,17,honda,78,1,4
2006,17,bmw_sauber,36,0,5
2006,17,toyota,35,0,6
2006,17,red_bull,16,0,7
2006,17,williams,11,0,8
2006,17,toro_rosso,1,0,9
2006,17,mf1,0,0,10
2006,17,super_aguri,0,0,11
2006,17,spyker_mf1,0,0,12
2006,18,renault,206,8,1
2006,18,ferrari,201,9,2
2006,18,mclaren,110,0,3
2006,18,honda,86,1,4
2006,18,bmw_sauber,36,0,5
2006,18,toyota,35,0,6
2006,18,red_bull,16,0,7
2006,18,williams,11,0,8
2006,18,toro_rosso,1,0,9
2006,18,mf1,0,0,10
2006,18,super_aguri,0,0,11
2006,18,spyker_mf1,0,0,12
2007,1,ferrari,13,1,1
2007,1,bmw_sauber,5,0,2
2007,1,renault,4,0,3
2007,1,williams,2,0,4
2007,1,toyota,1,0,5
2007,1,honda,0,0,6
2007,1,super_aguri,0,0,7
2007,1,red_bull,0,0,8
2007,1,toro_rosso,0,0,9
2007,1,spyker,0,0,10
2007,1,mclaren,14,0,11
2007,2,ferrari,23,1,1
2007,2,bmw_sauber,10,0,2
2007,2,renault,8,0,3
2007,2,toyota,3,0,4
2007,2,williams,2,0,5
2007,2,red_bull,0,0,6
2007,2,honda,0,0,7
2007,2,super_aguri,0,0,8
2007,2,toro_rosso,0,0,9
2007,2,spyker,0,0,10
2007,2,mclaren,32,1,11
2007,3,ferrari,39,2,1
2007,3,bmw_sauber,18,0,2
2007,3,renault,9,0,3
2007,3,toyota,5,0,4
2007,3,williams,2,0,5
2007,3,red_bull,0,0,6
2007,3,honda,0,0,7
2007,3,super_aguri,0,0,8
2007,3,toro_rosso,0,0,9
2007,3,spyker,0,0,10
2007,3,mclaren,44,1,11
2007,4,ferrari,49,3,1
2007,4,bmw_sauber,23,0,2
2007,4,renault,11,0,3
2007,4,williams,5,0,4
2007,4,toyota,5,0,5
2007,4,red_bull,4,0,6
2007,4,super_aguri,1,0,7
2007,4,honda,0,0,8
2007,4,spyker,0,0,9
2007,4,toro_rosso,0,0,10
2007,4,mclaren,58,1,11
2007,5,ferrari,56,3,1
2007,5,bmw_sauber,30,0,2
2007,5,renault,16,0,3
2007,5,williams,7,0,4
2007,5,toyota,5,0,5
2007,5,red_bull,4,0,6
2007,5,super_aguri,1,0,7
2007,5,toro_rosso,0,0,8
2007,5,honda,0,0,9
2007,5,spyker,0,0,10
2007,5,mclaren,76,2,11
2007,6,ferrari,60,3,1
2007,6,bmw_sauber,38,0,2
2007,6,renault,21,0,3
2007,6,williams,13,0,4
2007,6,toyota,6,0,5
2007,6,red_bull,4,0,6
2007,6,super_aguri,4,0,7
2007,6,toro_rosso,0,0,8
2007,6,honda,0,0,9
2007,6,spyker,0,0,10
2007,6,mclaren,88,3,11
2007,7,ferrari,71,3,1
2007,7,bmw_sauber,39,0,2
2007,7,renault,25,0,3
2007,7,williams,13,0,4
2007,7,toyota,9,0,5
2007,7,red_bull,6,0,6
2007,7,super_aguri,4,0,7
2007,7,toro_rosso,0,0,8
2007,7,honda,0,0,9
2007,7,spyker,0,0,10
2007,7,mclaren,106,4,11
2007,8,ferrari,89,4,1
2007,8,bmw_sauber,48,0,2
2007,8,renault,28,0,3
2007,8,williams,13,0,4
2007,8,toyota,9,0,5
2007,8,red_bull,6,0,6
2007,8,super_aguri,4,0,7
2007,8,honda,1,0,8
2007,8,toro_rosso,0,0,9
2007,8,spyker,0,0,10
2007,8,mclaren,114,4,11
2007,9,ferrari,103,5,1
2007,9,bmw_sauber,56,0,2
2007,9,renault,31,0,3
2007,9,williams,13,0,4
2007,9,toyota,9,0,5
2007,9,red_bull,6,0,6
2007,9,super_aguri,4,0,7
2007,9,honda,1,0,8
2007,9,toro_rosso,0,0,9
2007,9,spyker,0,0,10
2007,9,mclaren,128,5,11
2007,10,ferrari,111,5,1
2007,10,bmw_sauber,61,0,2
2007,10,renault,32,0,3
2007,10,williams,18,0,4
2007,10,red_bull,16,0,5
2007,10,toyota,9,0,6
2007,10,super_aguri,4,0,7
2007,10,honda,1,0,8
2007,10,toro_rosso,0,0,9
2007,10,spyker,0,0,10
2007,10,mclaren,138,5,11
2007,11,ferrari,119,5,1
2007,11,bmw_sauber,71,0,2
2007,11,renault,33,0,3
2007,11,williams,20,0,4
2007,11,red_bull,16,0,5
2007,11,toyota,12,0,6
2007,11,super_aguri,4,0,7
2007,11,honda,1,0,8
2007,11,toro_rosso,0,0,9
2007,11,spyker,0,0,10
2007,11,mclaren,138,6,11
2007,12,ferrari,137,6,1
2007,12,bmw_sauber,77,0,2
2007,12,renault,36,0,3
2007,12,williams,22,0,4
2007,12,red_bull,16,0,5
2007,12,toyota,12,0,6
2007,12,super_aguri,4,0,7
2007,12,honda,1,0,8
2007,12,toro_rosso,0,0,9
2007,12,spyker,0,0,10
2007,12,mclaren,148,6,11
2007,13,ferrari,143,6,1
2007,13,bmw_sauber,86,0,2
2007,13,renault,38,0,3
2007,13,williams,25,0,4
2007,13,red_bull,16,0,5
2007,13,toyota,12,0,6
2007,13,super_aguri,4,0,7
2007,13,honda,2,0,8
2007,13,toro_rosso,0,0,9
2007,13,spyker,0,0,10
2007,13,mclaren,166,7,11
2007,14,ferrari,161,7,1
2007,14,bmw_sauber,90,0,2
2007,14,renault,39,0,3
2007,14,williams,28,0,4
2007,14,red_bull,18,0,5
2007,14,toyota,12,0,6
2007,14,super_aguri,4,0,7
2007,14,honda,2,0,8
2007,14,toro_rosso,0,0,9
2007,14,spyker,0,0,10
2007,14,mclaren,192,7,11
2007,15,ferrari,170,7,1
2007,15,bmw_sauber,92,0,2
2007,15,renault,51,0,3
2007,15,williams,28,0,4
2007,15,red_bull,23,0,5
2007,15,toyota,12,0,6
2007,15,super_aguri,4,0,7
2007,15,honda,2,0,8
2007,15,spyker,1,0,9
2007,15,toro_rosso,0,0,10
2007,15,mclaren,202,8,11
2007,16,ferrari,186,8,1
2007,16,bmw_sauber,94,0,2
2007,16,renault,51,0,3
2007,16,williams,28,0,4
2007,16,red_bull,24,0,5
2007,16,toyota,12,0,6
2007,16,toro_rosso,8,0,7
2007,16,honda,6,0,8
2007,16,super_aguri,4,0,9
2007,16,spyker,1,0,10
2007,16,mclaren,210,8,11
2007,17,ferrari,204,9,1
2007,17,bmw_sauber,101,0,2
2007,17,renault,51,0,3
2007,17,williams,33,0,4
